# Ex.01 COLUMNS: 1.Исходный статус=Состояние до перехода | 2.Событие=Действие/факт, инициирующий переход | 3.Инициатор=Кто запускает (роль/система) | 4.Условия и проверки=Бизнес-правила | 5.Действия системы=Что делает система | 6.Новый статус=Состояние после перехода
Исходный статус;Событие;Инициатор;Условия и проверки;Действия системы;Новый статус
нет;Создание слота в расписании;Менеджер;Выбран мастер с ролью «Мастер», дата и время в будущем, пересечений нет;Создает запись слота с базовыми атрибутами;Свободен
Свободен;Бронирование слота клиентом через сайт;Клиент;Клиент зарегистрирован или введены контактные данные, слот свободен;Создает запись бронирования, резервирует слот;Забронирован клиентом
Свободен;Бронирование слота менеджером по телефону;Менеджер;Клиент найден по телефону или регистрируется, слот свободен;Создает бронирование от имени клиента;Забронирован клиентом
Забронирован клиентом;Техническое подтверждение брони;Система;Успешно записана бронь, выбран канал связи;Отправляет уведомление о бронировании;Подтвержден
Подтвержден;Самостоятельная отмена брони клиентом;Клиент;До наступления времени услуги осталось не менее установленного порога;Снимает бронь, освобождает слот, фиксирует причину;Отменен клиентом
Подтвержден;Отмена брони по инициативе барбершопа;Менеджер;Мастер недоступен, либо барбершоп закрыт, клиент уведомлен;Снимает бронь, фиксирует причину, предлагает альтернативы;Отменен барбершопом
Свободен;Отмена слота из расписания;Менеджер;По слоту нет бронирований;Удаляет или архивирует слот;Отменен барбершопом
Подтвержден;Начало оказания услуги;Мастер;Наступило время начала, клиент отметился у администратора;Помечает слот как находящийся в работе;В работе
В работе;Завершение оказания услуги;Мастер;Услуга фактически оказана;Фиксирует факт оказания, позволяет инициировать сбор отзыва и оплату;Выполнен
В работе;Фиксация неявки клиента;Мастер;Клиент не появился в течение допустимого опоздания;Закрывает слот как неявку;Неявка клиента
Подтвержден;Истечение времени слота без прихода клиента;Система;Клиент не отметился до конца слота;Закрывает слот с признаком неявки;Неявка клиента
Свободен;Истечение даты без брони;Система;Дата и время слота в прошлом, бронирований не было;Закрывает слот для операций;Истек без использования
Выполнен;Архивирование исторических слотов;Система;Прошел регламентный срок хранения в активной области;Переводит в архивную область хранения;Архивирован
